metric,best_baseline,proposed_mean,baseline_mean,relative_change_pct,higher_is_better,paired_t_p,wilcoxon_p
hit_rate,DCCC_NEAREST,0.5492777777777778,0.5492222222222223,0.010115314586269042,True,0.987045234461889,1.0
edge_hit_rate,DCCC_HASH,0.4207222222222222,0.3370555555555556,24.822811933410232,True,0.047762649118717526,0.10880943004054577
coop_hit_rate,DCCC_NEAREST,0.12855555555555556,0.4631111111111112,-72.24088291746641,True,0.0,0.10880943004054577
cloud_fetch_rate,DCCC_NEAREST,0.45072222222222225,0.4507777777777778,-0.012324377618924782,False,0.9870452344618892,1.0
deadline_satisfaction,DCCC_NEAREST,0.5492777777777778,0.5492222222222223,0.010115314586269042,True,0.987045234461889,1.0
avg_latency_ms,DCCC_HASH,86.24714533282425,92.40484410794947,-6.66382680969805,False,0.0009046277008970538,0.10880943004054577
p95_latency_ms,DCCC_NEAREST,175.82500000000002,176.01666666666665,-0.10889120348450022,False,0.31731050786291415,0.31731050786291415
p99_latency_ms,DCCC_HASH,180.275,180.0,0.15277777777778093,False,0.31731050786291437,0.31731050786291415
avg_energy,DCCC_NEAREST,66.27942944444443,66.21774388888889,0.09315562858657346,False,0.6782438341411705,1.0
cache_evictions,DCCC_NEAREST,2712.0,2713.6666666666665,-0.06141751627563623,False,0.937010899306173,0.6547208460185772
load_imbalance,LRU,1.815548410974176,1.8610967637869849,-2.447393047964174,False,0.8091097264906397,1.0
