seed,episode,reward,avg_loss,epsilon
42,1,-2600.0254618640283,69.30114354286751,0.97
42,2,-1783.6461241406507,23.83621713966131,0.9409
42,3,-2918.2038019210786,16.203303803414105,0.912673
42,4,-2733.7152164346912,12.96250076073408,0.8852928099999999
42,5,-2468.2643129544317,10.715697899088264,0.8587340256999999
