Policy,Hit Rate,Edge Hit Rate,Cooperative Hit Rate,Cloud Fetch Rate,Deadline Satisfaction,Average Latency
LRU,0.7088333333333333,0.218,0.49083333333333334,0.2911666666666667,0.6448333333333334,69.8330616666662
LFU,0.707,0.23833333333333334,0.4686666666666667,0.293,0.5745,71.40582166666677
DCCC_HASH,0.6705,0.2705,0.4,0.3295,0.5771666666666667,73.65200499999999
DEADLINE_DCCC,0.7081666666666667,0.31883333333333336,0.3893333333333333,0.29183333333333333,0.7035,67.35218833333278
